district_name,block_name,typeofsupport,broad_category,categoryofsupport,Beneficiary_Count
BALOD,BALOD,Afforestation of Wastelands,Nature-Based Solutions / Bio-Economy,Infrastructure,12
BALOD,BALOD,Agarbatti Machine,Circular Economy,Equipment,31
BALOD,BALOD,Any Other-Specify,Circular Economy,Equipment,3
BALOD,BALOD,Any Other-Specify,Circular Economy,Inputs,3
BALOD,BALOD,Any Other-Specify,Circular Economy,Training,3
BALOD,BALOD,Assistance for Basic Seed Production Units,Nature-Based Solutions / Bio-Economy,Infrastructure,8
BALOD,BALOD,Azolla,Nature-Based Solutions / Bio-Economy,Inputs,9
BALOD,BALOD,Basket and Trolley,Nature-Based Solutions / Bio-Economy,Equipment,26
BALOD,BALOD,Bee Boxes,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,BALOD,Bee Hives,Nature-Based Solutions / Bio-Economy,Inputs,3
BALOD,BALOD,Beekeeper,Nature-Based Solutions / Bio-Economy,Training,3
BALOD,BALOD,Bio Culture,Nature-Based Solutions / Bio-Economy,Inputs,38
BALOD,BALOD,Bio Fertilisers,Nature-Based Solutions / Bio-Economy,Inputs,45
BALOD,BALOD,Bore Well,Nature-Based Solutions / Bio-Economy,Infrastructure,10
BALOD,BALOD,Brood Lac,Nature-Based Solutions / Bio-Economy,Inputs,6
BALOD,BALOD,Certification,Circular Economy,Marketing Support,3
BALOD,BALOD,Clay,Circular Economy,Inputs,5
BALOD,BALOD,Cleaning & Storage Unit - Spices / Coffee /Rubber / Tea,Circular Economy,Infrastructure,3
BALOD,BALOD,Cleaning and Disinfection Equipment,Nature-Based Solutions / Bio-Economy,Equipment,6
BALOD,BALOD,Coir Machine,Circular Economy,Equipment,3
BALOD,BALOD,Cold Storage,Circular Economy,Infrastructure,6
BALOD,BALOD,Compost Pit,Nature-Based Solutions / Bio-Economy,Infrastructure,20
BALOD,BALOD,Computer-Aided Textile Designing Unit,Circular Economy,Equipment,9
BALOD,BALOD,Construction of New Pond,Nature-Based Solutions / Bio-Economy,Infrastructure,3
BALOD,BALOD,Crop Insurance,Nature-Based Solutions / Bio-Economy,Loan / Insurance / Subsidy,50
BALOD,BALOD,Drainage of Chaur or Waterlogged Land,Nature-Based Solutions / Bio-Economy,Infrastructure,485
BALOD,BALOD,Drip Irrigation,Nature-Based Solutions / Bio-Economy,Infrastructure,3
BALOD,BALOD,Dug Well,Nature-Based Solutions / Bio-Economy,Infrastructure,27
BALOD,BALOD,Dye House,Circular Economy,Infrastructure,3
BALOD,BALOD,FYM,Nature-Based Solutions / Bio-Economy,Inputs,47
BALOD,BALOD,Fabric Finishing Units,Circular Economy,Infrastructure,8
BALOD,BALOD,Feed Management and Nutrition,Nature-Based Solutions / Bio-Economy,Training,11
BALOD,BALOD,Fencing,Nature-Based Solutions / Bio-Economy,Inputs,55
BALOD,BALOD,Fencing Material,Nature-Based Solutions / Bio-Economy,Infrastructure,12
BALOD,BALOD,Fertilizers,Nature-Based Solutions / Bio-Economy,Inputs,706
BALOD,BALOD,Foot Pump,Nature-Based Solutions / Bio-Economy,Equipment,107
BALOD,BALOD,General Training,Circular Economy,Training,41
BALOD,BALOD,Godown,Circular Economy,Infrastructure,16
BALOD,BALOD,Green House,Nature-Based Solutions / Bio-Economy,Infrastructure,11
BALOD,BALOD,Green House (Including Shade Net),Nature-Based Solutions / Bio-Economy,Infrastructure,11
BALOD,BALOD,Grinding Machine,Nature-Based Solutions / Bio-Economy,Equipment,158
BALOD,BALOD,Gully Plugs,Nature-Based Solutions / Bio-Economy,Infrastructure,30
BALOD,BALOD,Improved Package of Practice for Crops,Nature-Based Solutions / Bio-Economy,Training,3
BALOD,BALOD,Improved Twisting Machines for Yarn Making,Circular Economy,Equipment,3
BALOD,BALOD,Infrastructure For Liquid Bio Manure,Nature-Based Solutions / Bio-Economy,Infrastructure,3
BALOD,BALOD,Infrastructure for Azolla Cultivation,Nature-Based Solutions / Bio-Economy,Infrastructure,15
BALOD,BALOD,Insect Trap,Nature-Based Solutions / Bio-Economy,Inputs,30
BALOD,BALOD,Integrated Pack House,Circular Economy,Infrastructure,18
BALOD,BALOD,Kisan Credit Card,Nature-Based Solutions / Bio-Economy,Loan / Insurance / Subsidy,9
